"","PheTTT","PheTTC","LeuTTA","LeuTTG","SerTCT","SerTCC","SerTCA","SerTCG","TyrTAT","TyrTAC","CysTGT","CysTGC","TrpTGG","LeuCTT","LeuCTC","LeuCTA","LeuCTG","ProCCT","ProCCC","ProCCA","ProCCG","HisCAT","HisCAC","GlnCAA","GlnCAG","ArgCGT","ArgCGC","ArgCGA","ArgCGG","IleATT","IleATC","IleATA","ThrACT","ThrACC","ThrACA","ThrACG","AsnAAT","AsnAAC","LysAAA","LysAAG","SerAGT","SerAGC","ArgAGA","ArgAGG","ValGTT","ValGTC","ValGTA","ValGTG","AlaGCT","AlaGCC","AlaGCA","AlaGCG","AspGAT","AspGAC","GluGAA","GluGAG","GlyGGT","GlyGGC","GlyGGA","GlyGGG"
"COAD.TCGA.A6.2671.11A.01R.1757.13_mirna",0.713307433201377,1,3.90227796287879,2.09322737381819,1.51221500587839,1.09541292454786,1.36289728755223,2.88888749614497,0.759744601152816,1,0.74102642502706,1,1,0.283658131123189,0.0817549411531172,2.10831434623661,1,0.0796016722584603,0.030477594100893,1.35369149642102,2.2951688014121,0.813918106014101,1,1.84329168856079,1,0.844376391136865,0.178026917431241,0.583084557551052,1,1.61161977425731,0.806202577949675,3.89559462882416,1.86433105650692,0.5,0.880953465929445,1.35213373888337,0.711322571673959,1,1.54868266829136,1,0.813925864449783,0.856987952967657,0.425293142250458,0.993380163532779,1.53902480308035,0.491036858672227,5.2444236163031,0.577194607016254,1.65886235943002,0.5,1.46037604962592,2.07599641547524,0.656690951310198,1,0.956063294364212,1,1.15762970846641,1,1.65347331584961,1.61944368573529
"COAD.TCGA.A6.2680.11A.01R.1757.13_mirna",0.656351689933026,1,2.33362354841849,1.28217041868052,0.0927818738010325,0.0373914776891452,1.49377364247885,3.80879593296585,0.684079778358987,1,0.681581863210426,1,1,0.277103322612679,0.0910877970875454,1.97073210593828,1,0.0602986596172136,0.0251617689499576,1.24018113938701,2.61962765225491,0.73611760793049,1,3.24506982219494,0.973890286910586,1.26730593122485,0.295761515142834,1.03586018741336,1,1.46131595019711,0.948017004633777,2.06367950606833,1.64596657468712,0.5,1.15862892641321,2.41917018474724,0.728254303292895,1,1.22469075338691,1,1.00039278054088,1,0.558127236794326,0.953949193002109,2.78336496307152,0.983184717984636,3.46955108748383,0.40966875059863,1.5386479147795,0.5,1.68288447106657,2.45629898611937,0.608971802124558,1,0.829122519904175,1,0.540793089231463,0.501834311689639,0.961763621035665,1.57639477536021
"COAD.TCGA.AA.3525.11A.01R.1757.13_mirna",0.649539440513476,1,2.55434041377773,1.42295664244945,0.120679129229035,0.0470118215477796,1.29953646026321,3.80036134551265,0.700687275406137,1,0.740699592508471,1,1,0.311632390505657,0.0969514239876003,2.26135032732966,1,0.0774001353199366,0.031410113808999,1.25748459200596,2.44488969983704,0.738686524606441,1,2.61823243888474,1,1.22872688968902,0.281888764593027,0.845242889335716,0.888491605522253,1.4546227584664,0.692018322016648,2.93068217917083,1.69690945669604,0.5,0.930392630991133,1.67424708592327,0.644820626165953,1,1.2879884065576,1,0.874179577400553,1,0.552348514808502,1.18764192786717,2.45309926977197,0.84992216650484,4.64399013236277,0.706600105419573,1.53219949079104,0.5,1.18305796747897,1.76579519088719,0.634387198606361,1,0.755739511603727,1,1.01216518639351,0.927259297052922,1.23885408820987,1.60318019383472
"READ.TCGA.AF.2689.11A.01R.1757.13_mirna",0.695143649475207,1,3.90894780224365,1.92816863120303,0.139853360361109,0.0529408971252574,1.6352291212191,3.98369328764152,0.737656884972836,1,0.775501727716506,1,1,0.304014002188122,0.092156077035592,2.49931517117384,1,0.988519682085661,0.79119332046758,1.30237432625349,2.65584453566999,0.810837988124601,1,3.0507749346217,1,1.17610372165818,0.260376046450391,0.857884718034641,1,1.57570489451749,0.763601125701673,3.16124971602205,1.82583647503923,0.5,0.910641904207299,1.56426022018624,0.796929997974845,1,1.60105584740668,1,0.929304905498597,1,0.601162948482517,1.06229085017433,1.34610718938247,0.45192241448446,5.06342983719459,0.598231797009007,1.629151364754,0.5,1.32428441017409,1.97700342237281,0.680277716116267,1,1.1859132606521,1,1.09067842656434,0.968063751118631,1.35939492062918,1.67373472548718
"COAD.TCGA.A6.2685.11A.01R.1757.13_mirna",0.665062619899558,1,3.19928934560712,2.19066527564036,1.43531769188335,1.09306778682103,1.0249986870817,2.66845077381918,0.711457608344604,1,0.707108839965864,1,1,0.37555641179529,0.115093503857751,2.39322331349379,1,0.0738705634390167,0.0293891961988702,1.26983056558466,2.07509847628097,0.768648422858935,1,2.54850012097331,1,0.664907829963953,0.149790482369219,0.584247136120091,1,1.49241884170084,0.714285714285714,3.09579202653081,1.80093442050046,0.5,1.00026156981844,1.60113759528923,0.662862478997684,1,1.51659582888943,1,0.721797806470908,0.80725461083816,0.43066195759586,0.951809555399872,0.771750178914812,0.261666663785423,4.80016310830308,0.630727553831869,1.56693089593143,0.5,1.23600872055971,1.88932315559869,0.618040302814648,1,0.948775401388432,1,1.12596420794125,1,1.35180159283796,1.45522011384955
"COAD.TCGA.A6.2683.11A.01R.1757.13_mirna",0.640611162881767,1,3.17668983006898,1.77118875846692,1.37196972751662,1.07770896058341,0.955514266006499,2.54118495129263,0.680792068449686,1,0.690549191544941,1,1,0.307963913153042,0.0994816982303477,2.00394787975763,1,0.155687795860516,0.0637441490048146,1.2412856986657,2.13773098797699,0.723550394021407,1,2.65138721169604,1,0.795995350283505,0.18755043045356,0.529946549142205,1,1.41724189945777,0.746663485988618,2.49659690547869,1.69933264148524,0.5,1.07191468017629,1.56979089314552,0.64315288386423,1,1.38467064465788,1,0.611206898700753,0.715399968248321,0.39737995720769,0.793310729641912,1.13019963988389,0.39637366486463,4.56495567971366,0.62243748651217,1.49383734295294,0.5,1.33748094800758,1.81173317320499,0.653786003414418,1,0.866123850181175,1,1.07372963047278,1,1.24869321479507,1.60498819278909
"COAD.TCGA.AA.3527.11A.01R.1757.13_mirna",0.676874329228672,1,4.50148051370623,1.9862566008012,1.43231718638803,1.06544852028659,1.38800662379036,3.45414979932505,0.709034098727562,1,0.782545625055391,1,1,0.40841479857844,0.124309080864956,2.41768713164844,1,0.108381849568269,0.0423836375193091,1.29654399582542,2.32057527047578,0.750160771355225,1,2.50130079180225,1,1.6629077537829,0.375509988625827,1.11533720407553,1,1.48412588429241,0.83876660002798,3.19398042759862,1.77162663566138,0.5,0.952367018875563,1.76854675665759,0.662075743048252,1,1.46822168623993,1,0.666219165131699,0.754511867165866,0.63939245500436,1.15965771447515,2.37296667609632,0.776559268620136,4.84917858589323,0.508989456367418,1.55691875751916,0.5,1.35433434092403,2.0572476158323,0.621535783392991,1,0.918737549628348,1,0.668879718914753,0.594269098187997,1.24753244702197,1.68732677147294
"COAD.TCGA.A6.2684.11A.01R.1757.13_mirna",0.668205319232872,1,3.86822257166577,1.97503994588781,0.18254769543114,0.068931720502373,1.08307518279821,3.1806951825518,0.72352145083933,1,0.76611336255632,1,1,0.362249219209035,0.109763607008338,2.8471205097241,1,0.112997289376935,0.0445797445646621,1.31327976671196,2.36101306650644,0.770914269220915,1,2.78145896346769,1,1.31008000945914,0.288548784483222,0.946847046971234,0.925560662312062,1.51305832472829,0.774115996447335,2.21606786173298,1.71224470584747,0.5,1.36190267261242,2.33934092970816,0.767320582520285,1,1.11963036581649,1,1.07801045541204,1,0.538325945109463,1.23251609621075,1.91841786172913,0.647179946897675,4.80992641897558,0.604192869791179,1.58131173779379,0.521169398479081,1.43219473382187,2.08992916502393,0.659418250847882,1,0.928112430731394,1,0.927929534488139,0.839707491064277,1.39232134661996,1.58738680535023
"READ.TCGA.AF.2691.11A.01R.1757.13_mirna",0.675946787668092,1,3.92772050778942,2.27333019142549,0.293833711137386,0.113588382497876,1.64745136398207,4.27600999627718,0.722989304445467,1,0.792053495970944,1,1,0.304034752405678,0.0945843959827253,2.28137005700996,1,0.963855469957785,0.786378392856943,1.26181965978923,3.19731811756853,0.804988981579628,1,1.57898367524086,1,1.07042278587086,0.244640755202294,0.802131915756965,1,1.53703950242854,0.818926339218508,2.80744176225431,1.83104115296513,0.5,0.856652604321299,1.38514409986966,0.677563957987118,1,1.51782761398075,1,0.879210946482948,0.964093916829386,0.494308518548176,0.900492088270891,0.771183321068728,0.267458115561245,4.9193430080477,0.593094205109922,1.59421742198311,0.522227793806646,1.21999224708577,1.68764545545075,0.618434710524883,1,1.14362997247561,1,0.930266739727074,0.845923260455754,1.52759750706467,1.68262325931009
"GBM.TCGA.06.0675.11A.32R.A36C.13_mirna",0.625626585210312,1,6.32434217389072,2.69504785356463,0.0820660621913988,0.0338641712391403,1.75407975742901,3.88330566914628,0.685270315057325,1,0.709517334248023,1,1,0.237310547033419,0.0761818112690548,3.39089647017599,0.86957799802209,0.0804038984556749,0.0339778336217256,1.23910832193149,2.10786644541883,0.752843087163696,1,1.71479220308053,1,0.626041532169597,0.136765651767678,0.570303121856233,0.346940815362275,1.20627768271524,0.901136219836423,3.87594701632124,1.21254220907692,0.38095620115816,1.41255485498434,2.52634168241488,0.703811671410229,1,1.54839925673351,0.753896669658353,0.640133972076709,0.752243938631923,1.32572532062699,1.068767735902,0.719802399802344,0.255321044826681,4.44403070949649,0.583983791725198,1.57445690324556,0.528551635540622,1.68458832462739,2.78833962498392,0.598475156425246,1,1.27104896472363,1,1.10474490714551,1,0.982008056798752,1.03655978293934
"READ.TCGA.AF.2692.11A.01R.1757.13_mirna",0.681183118400735,1,3.61245643100007,2.13116890467136,0.164371931872656,0.0643883118600447,1.84931058180581,4.20714221806283,0.720643034235477,1,0.712593299913726,1,1,0.376671708613361,0.118791206486953,2.50959811604233,1,0.920456997276615,0.75023806494083,1.28426547620454,2.60430597092468,0.784567944884122,1,2.08082495009034,1,1.08096866985782,0.243725370387082,0.704277564545211,1,1.54658477925246,0.80382799348337,3.12615707925127,1.77126302906486,0.5,0.819723683292731,1.25888163688043,0.677326788119241,1,1.41621368495404,1,0.8163215091336,0.907546328713171,0.429235593742242,0.739277441496389,0.804564228109559,0.277519483582657,4.97882422481119,0.559411168270499,1.59877159635394,0.517168110643536,1.24296431445118,1.52077900791476,0.619962080781472,1,1.07164542808329,1,0.838397117964622,0.771335792902946,1.36221266217509,1.64786699507812
"COAD.TCGA.AA.3520.11A.01R.1757.13_mirna",0.661523113660441,1,3.4803329020607,1.73153106473952,1.41837107293024,1.0827993483559,1.00037306920295,2.56229699244435,0.700646112043029,1,0.768397752154222,1,1,0.158537413902361,0.0493767850020195,2.02982054045937,1,0.977869333550634,0.789308603493754,1.27719212410647,2.54419742835843,0.745358647297337,1,2.3206061095412,1,1.36918605759272,0.312296936144175,0.962186151632803,1,1.45692083746639,0.869909083394701,3.46609419045368,1.72391586632702,0.5,0.764091390005084,1.15221302856881,0.657743016107095,1,1.44469419260696,1,0.647161149290331,0.738741712561536,0.448151159755583,0.996372753508878,2.06716732787284,0.705854551053585,4.73143390173685,0.572796544742844,1.53658289208673,0.5,1.14127423638071,1.67189343053133,0.655349284062987,1,0.828740119865517,1,0.867590369342169,0.790589745937148,1.28635098304673,1.64893119861865
"GBM.TCGA.06.0678.11A.32R.A36C.13_mirna",0.634911837142909,1,6.50442690860254,2.74656720212283,1.36380310782554,1.10649857205754,1.24200912461074,2.82653449826318,0.69760195900856,1,0.712135311345552,1,1,0.292299848780418,0.092275949011744,3.69168264120318,0.938714479372252,0.0816617480705387,0.0338127797848047,1.26410313019062,1.94505873041341,0.763900765280721,1,2.04547058308886,1,0.353007656427446,0.0756944542064056,0.447961306313638,0.256756007490802,1.11353295319478,0.782317602103932,3.9715335610651,0.574317105269376,0.176941902801183,1.43474016342611,2.0703051432821,0.644142388410144,1,1.57371358343947,0.812705241997642,0.536992092491756,0.548429728458266,1.35362520342006,0.942910062155414,0.789539276477775,0.275858306868195,4.53069318945796,0.638594635019306,1.47193926329142,0.461270048272823,1.91102886627593,3.35261423756798,0.607227494755307,1,1.03197320231683,1,1.13084813656377,1,0.717385377702583,0.875730964408355
"GBM.TCGA.06.0680.11A.32R.A36C.13_mirna",0.613506432169687,1,6.09241845161976,2.53389069096526,0.0654162535709118,0.0274870736541009,1.72180826983102,3.48703112100167,0.67440157291302,1,0.644918031728471,1,1,0.200625512640285,0.0659691753438215,3.43309682434527,0.788920746854273,0.0561829584096847,0.0240940255822048,1.219842996972,2.01929615534832,0.737529181025303,1,2.09818345849266,1,0.596837358090238,0.132575782460371,0.782665234226002,0.501030539332304,1.1759889710762,0.883971510315479,3.75838125677333,0.507277579741413,0.162654883949637,1.3843553422046,1.95743014760744,0.68864106233399,1,1.51764323783847,0.787678941372835,0.506873834568292,0.60730844841259,1.28675956832159,1.20317790904055,0.627362212801065,0.227838915573075,4.34480889220773,0.59374165211656,1.55325051699266,0.5,1.83629513382726,3.12510319562043,0.588059837929106,1,1.18505179193632,1,1.08772571634441,1,0.944667907046767,1.08955422776581
"GBM.TCGA.06.0681.11A.41R.A36C.13_mirna",0.64852666305722,1,6.82451021600812,2.53069122622403,0.0714144922338554,0.0284638834989197,1.82656957438601,3.93345498284753,0.709271384821467,1,0.740258211240309,1,1,0.201123797000826,0.0621825583849041,2.97132377784903,0.726358447292871,0.91911733865255,0.747498080648191,1.29155704231611,2.02168567449406,0.778681193818443,1,1.92894953997801,1,0.723350477324374,0.153252854787397,0.787530774567556,0.423421174948092,1.2236365127365,0.82220822335382,4.06613756796896,0.856155733986108,0.259916185282974,1.46321120660919,2.12768122499497,0.652917257821818,1,1.61040664115951,0.800581230244603,0.659212777975252,0.749483734551579,1.38737606645149,1.17895886778558,1.36812003028157,0.469082403504919,4.66416161196029,0.707854884224486,1.62288103398533,0.5,1.78479470116281,3.39202022454386,0.617882121347102,1,0.946660339638422,1,1.14024906960033,1,0.739050991759543,0.999795231086292
